Language,Dependencies,Avg Interveners,Avg Arity,Avg Phrase Length,Avg Distance,Left,Right,Modifies Head,Modifies Dep,Modifies Other
English,192033,2.1905922419584134,0.5389192375899169,2.0533843952209114,3.3704415386938704,118454,73579,134064,80650,205952
Hindi,267751,2.460375498130726,0.6089548976270857,2.189672236659947,3.541301433047869,156333,111418,175686,102085,380997
Spanish,438752,2.4203126139595943,0.6386949262512983,2.482695916912527,3.65064546714317,247862,190890,249129,197434,615354
French,340198,2.1282282670680015,0.583274748314616,2.227295140044667,3.3174563048577594,194506,145692,199717,143095,381207
German,249964,2.4863380326767053,0.639602893024079,2.142168480840554,3.765062168952329,159546,90418,191167,86908,343420
Chinese,94617,2.667649576714544,0.6766942017788871,2.1957251243041935,3.98460107591659,58912,35705,68274,34037,150094
Russian,401115,1.9284295027610536,0.6675324037325376,2.3936255206703883,3.278204504942473,224249,176866,214974,132733,425815
Arabic,217806,2.9401623463081825,0.7857491977482296,3.5418568517376268,4.153990248202529,68363,149443,102918,68512,468955
Turkish,34087,1.4508757004136474,0.6002102879327078,2.082477353607247,2.651216006102033,21803,12284,16148,7274,26034
Japanese,161283,1.683884848372116,0.4905001067817455,1.930326752141158,2.818691368588134,77864,83419,94068,51815,125699
